абонировать  заабонировать
компарировать  скомпарировать
компаундировать  скомпаундировать
компенсировать  скомпенсировать
компенсироваться  скомпенсироваться
компилировать  скомпилировать
компилироваться  скомпилироваться
комплексировать  скомплексировать
комплексироваться  скомплексироваться
комплексовать  закомплексовать
комплектовать  скомплектовать
комплектовать  укомплектовать
комплектоваться  скомплектоваться
комплектоваться  укомплектоваться
компоновать  скомпоновать
компоноваться  скомпоноваться
компостировать  закомпостировать
компостировать  прокомпостировать
компрессировать  скомпрессировать
компрометировать  скомпрометировать
компрометироваться  скомпрометироваться
конвертировать  сконвертировать
конвертироваться  сконвертироваться
конвертовать  законвертовать
конвоировать  отконвоировать
конвоироваться  отконвоироваться
конденсировать  сконденсировать
конденсироваться  сконденсироваться
конкретизировать  проконкретизировать
конкурировать  поконкурировать
конопатить  законопатить
консервировать  законсервировать
консервироваться  законсервироваться
конспектировать  законспектировать
конспектироваться  законспектироваться
конспирировать  законспирировать
конспирироваться  законспирироваться
констатировать  проконстатировать
конструировать  сконструировать
конструироваться  сконструироваться
консультировать  проконсультировать
консультироваться  проконсультироваться
контактировать  проконтактировать
контрактовать  законтрактовать
контрактоваться  законтрактоваться
контролировать  проконтролировать
контузить  оконтузить
конфигурировать  сконфигурировать
конфигурироваться  сконфигурироваться
конфисковывать  конфисковать
конфликтовать  законфликтовать
конфузить  оконфузить
конфузить  сконфузить
конфузиться  оконфузиться
концентрировать  сконцентрировать
концентрироваться  сконцентрироваться
концертировать  проконцертировать
кончать  кончить
кончаться  кончиться
кооперировать  скооперировать
кооперироваться  скооперироваться
кооптировать  скооптировать
кооптироваться  скооптироваться
координировать  скоординировать
координироваться  скоординироваться
копать  вскопать
копаться  докопаться
копаться  покопаться
копипастить  откопипастить
копировать  скопировать
копироваться  скопироваться
копить  накопить
копить  прикопить
копить  скопить
копиться  накопиться
копиться  скопиться
копошиться  закопошиться
коптить  закоптить
коптиться  закоптиться
корешиться  закорешиться
коричневеть  покоричневеть
кормить  накормить
кормиться  накормиться
кормиться  покормиться
кормиться  прокормиться
корнать  обкорнать
коробить  покоробить
коробиться  покоробиться
коротать  скоротать
корректировать  скорректировать
корректироваться  скорректироваться
коррелировать  скоррелировать
корчевать  выкорчевать
корчевать  раскорчевать
корчеваться  выкорчеваться
корчить  скорчить
корчиться  скорчиться
косить1  выкосить
косить1  накосить
косить1  скосить
косить2  перекосить
косить2  скосить
коснеть  закоснеть
коснуться  прикоснуться
кособочить  скособочить
кособочиться  скособочиться
косоворотиться  скосоворотиться
кочевать  перекочевать
коченеть  закоченеть
коченеть  окоченеть
крапать  закрапать
крапать  покрапать
красить  накрасить
красить  покрасить
краситься  накраситься
краситься  окраситься
краситься  покраситься
краснеть  покраснеть
красоваться  покрасоваться
красть  украсть
красться  прокрасться
крахмалить  накрахмалить
крахмалиться  накрахмалиться
креативить  покреативить
кредитовать  прокредитовать
кредитоваться  прокредитоваться
крепить1  закрепить1
крепить1  закрепить2
крепить2  укрепить
крепиться  закрепиться
крепнуть  окрепнуть
крестить  окрестить
крестить  перекрестить
крестить  покрестить
креститься  окреститься
креститься  покреститься
кривить  искривить
кривить  скривить
кривиться  скривиться
кристаллизовать  выкристаллизовать
кристаллизоваться  выкристаллизоваться
критиковать  раскритиковать
кричать  крикнуть
кричать  прокричать
кроить  скроить
кромсать  искромсать
кропать  накропать
кропить  окропить
крошить  накрошить
крошить  раскрошить
крошиться  раскрошиться
кружить  закружить
кружиться  закружиться
кружиться  покружиться
крутить  раскрутить
крутить  скрутить
крутиться  раскрутиться
кручиниться  закручиниться
крушить  сокрушить
крыть  накрыть
крыть  покрыть
крыться  раскрыться
крючить  скрючить
крючиться  скрючиться
крякать  крякнуть
кряхтеть  покряхтеть
ксерить  отксерить
ксериться  отксериться
кувыркаться  кувыркнуться
кудрявить  закудрявить
кудрявиться  закудрявиться
кукарекать  прокукарекать
куковать  прокуковать
культивировать  прокультивировать
купать  выкупать2
купать  искупать2
купать  покупать2
купаться  выкупаться2
купаться  искупаться2
купаться  покупаться2
курить  курнуть
курить  перекурить
курить  покурить
курлыкать  прокурлыкать
курочить  раскурочить
курчавиться  закурчавиться
кусать  покусать
кусаться  покусаться
куститься  закуститься
кутать  закутать
кутаться  закутаться
кутаться  укутаться
кутить  покутить
кушать  покушать
кушать  скушать
ладить  поладить
ладиться  наладиться
лажать  облажать
лажаться  облажаться
лакать  вылакать
лакать  лакнуть
лакировать  отлакировать
лакироваться  отлакироваться
лакомиться  полакомиться
ламинировать  отламинировать
лапать  лапнуть
лапать  облапать
ласкать  приласкать
ласкаться  приласкаться
ластиться  подластиться
латать  залатать
лататься  залататься
лачить  полачить
лаять  залаять
лаять  облаять
лгать  налгать
лгать  солгать
леветь  полеветь
леденеть  обледенеть
леденить  заледенить
лежать  полежать
лежать  пролежать
лезть  залезть
лелеять  взлелеять
лениться  залениться
лениться  облениться
лепетать  пролепетать
лепить  вылепить
лететь  полететь
лечить  вылечить
лечиться  вылечиться
либеральничать  полиберальничать
лизать  лизнуть
лизать  облизать
ликовать  возликовать
лимитировать  пролимитировать
линовать  разлиновать
линять  вылинять
линять  полинять
липнуть  прилипнуть
листать  перелистать
листать  пролистать
листовать  пролистовать
литовать  залитовать
литоваться  залитоваться
лить  налить
лихачить  полихачить
лихорадить  залихорадить
лицевать  залицевать
лицевать  перелицевать
лицензировать  залицензировать
лицензироваться  залицензироваться
лишать  лишить
лишаться  лишиться
ловить  выловить
ловить  поймать
ловить  уловить
ловиться  пойматься
ловчить  словчить
ложить  покласть
ложить  положить
ложиться  лечь
ломать  сломать
ломаться  сломаться
лопатить  перелопатить
лопаться  лопнуть
лосниться  залосниться
лохматить  взлохматить
лощить  вылощить
лощиться  вылощиться
лудить  вылудить
лудиться  вылудиться
лузгать  налузгать
лукавить  слукавить
лупить  отлупить
лупиться  облупиться
лущить  налущить
лысеть  облысеть
льнуть  прильнуть
льстить  польстить
льститься  польститься
любезничать  полюбезничать
любить  полюбить
любоваться  залюбоваться
любоваться  полюбоваться
любопытствовать  полюбопытствовать
лягать  лягнуть
лягаться  лягнуться
лязгать  лязгнуть
мазать  измазать
мазать  мазнуть
мазать  намазать
мазаться  намазаться
мазюкаться  замазюкаться
мазюкаться  измазюкаться
макать  макнуть
максимизировать  промаксимизировать
малодушествовать  смалодушествовать
малодушничать  смалодушничать
маневрировать  сманеврировать
манежить  проманежить
манить  приманить
манкировать  проманкировать
марать  измарать
мараться  измараться
мариновать  замариновать
мариноваться  промариноваться
маршировать  промаршировать
маскировать  замаскировать
маскироваться  замаскироваться
маслить  намаслить
массировать  помассировать
массироваться  помассироваться
мастерить  смастерить
масштабировать  отмасштабировать
масштабировать  смасштабировать
масштабироваться  отмасштабироваться
матереть  заматереть
материть  обматерить
материться  обматериться
матировать  заматировать
махать  махнуть
махать  помахать
маяться  измаяться
маячить  замаячить
меблировать  омеблировать
меблироваться  омеблироваться
медлить  помедлить
межевать  размежевать
мелеть  обмелеть
мелеть  омелеть
мелькать  мелькнуть
мельчить  измельчить
менять1  обменять
менять1  поменять
менять1  разменять
менять2  заменять
менять2  обменять
менять2  поменять
менять2  разменять
менять2  сменять
меняться  поменяться
мерещиться  померещиться
мерзнуть  замерзнуть
мерить  замерить
мерить  измерить
мериться  замериться
мериться  измериться
мериться  помериться
меркнуть  померкнуть
мертветь  помертветь
мерцать  меркнуть
месить  замесить
мести  подмести
метать  метнуть
метаться  заметаться
метаться  метнуться
метелить  отметелить
метить  пометить
механизировать  замеханизировать
мечтать  помечтать
мешать1  помешать
мешать2  перемешать
мешать2  помешать
мешать2  размешать
мешкать  помешкать
мигать  мигнуть
микшировать  смикшировать
микшироваться  смикшироваться
миловать  помиловать
миловаться  помиловаться
милосердствовать  помилосердствовать
миндальничать  поминдальничать
минимизировать  проминимизировать
минировать  заминировать
мирить  помирить
мириться  помириться
митинговать  помитинговать
мнить  возомнить
множить  умножить
множиться  умножиться
мобилизовать  отмобилизовать
мобилизоваться  отмобилизоваться
моделировать  смоделировать
модулировать  промодулировать
мозолить  намозолить
мокнуть  намокнуть
мокнуть  промокнуть
молить  умолить
молиться  помолиться
молодеть  помолодеть
молотить  обмолотить
молоть  смолоть
молчать  смолчать
монтировать  смонтировать
монтироваться  смонтироваться
моргать  моргнуть
моргать  поморгать
мордовать  замордовать
морить  заморить
мориться  размориться
морозить  заморозить1
морозиться  заморозиться
моросить  заморосить
моросить  поморосить
морочить  заморочить
морщить  наморщить
морщить  сморщить
морщиться  сморщиться
мостить  замостить
мотать  мотнуть
мотивировать  промотивировать
моторизовать  замоторизовать
мочить  намочить
мочиться  помочиться
мочь  смочь
мошенничать  смошенничать
мрачнеть  помрачнеть
мстить  отомстить
мудрить  намудрить
мужать  возмужать
мультиплексировать  смультиплексировать
мурлыкать  промурлыкать
муровать  замуровать
мурыжить  помурыжить
муслить  намуслить
мусорить  замусорить
мусорить  намусорить
муссировать  промуссировать
мутировать  смутировать
мутить  замутить
мутиться  замутиться
мутиться  помутиться
мутнеть  помутнеть
мутнить  замутнить
мутнить  помутнить
мутниться  замутниться
мутниться  помутниться
мутузить  отмутузить
мухлевать  смухлевать
мучить  замучить
мучить  измучить
мучиться  замучиться
мучиться  измучиться
муштровать  вымуштровать
муштроваться  вымуштроваться
мыкаться  помыкаться
мылить  намылить
мылиться  намылиться
мыть  вымыть
мыться  вымыться
мыться  отмыться
мыться  помыться
мыться  умыться
мычать  промычать
мягчеть  помягчеть
мямлить  замямлить
мямлить  промямлить
мять  измять
мять  смять
мяться  измяться
мяться  помяться
мяться  смяться
мяукать  мяукнуть
набавлять  набавить
набалтывать  наболтать
набеливать  набелить
набивать  набить
набиваться  набиться
набирать  набрать
набираться  набраться
наблюдать  понаблюдать
наблюдать  пронаблюдать
наблюдаться  понаблюдаться
набрасывать  набросать
набрасывать  набросить
набрасываться  наброситься
набредать  набрести
набрызгивать  набрызгать
набухать  набухнуть
наваливать  навалить
наваливать кучу  навалить кучу
наваливаться  навалиться
наваривать  наварить
навариваться  навариться
навевать  навеять
наведываться  наведаться
навеивать  навеять
наверстывать  наверстать
навертывать  навернуть
навертываться  навернуться
навешивать  навесить
навешиваться  навеситься
навещать  навестить
навинчивать  навинтить
навинчиваться  навинтиться
навирать  наврать
нависать  нависнуть
навлекать  навлечь
наводить  навести
наводиться  навестись
наводнять  наводнить
наводняться  наводниться
навоевываться  навоеваться
навострять  навострить
навостряться  навостриться
навьючивать  навьючить
навьючиваться  навьючиться
навязывать  навязать
навязываться  навязаться
нагибать  нагнуть
нагибаться  нагнуться
наглаживать  нагладить
наглаживаться  нагладиться
наглатываться  наглотаться
наглеть  обнаглеть
нагнетать  нагнести
нагнивать  нагнить
наговаривать  наговорить
нагонять  нагнать
нагорать  нагореть
награждать  наградить
нагревать  нагреть
нагреваться  нагреться
нагромождать  нагромоздить
нагромождаться  нагромоздиться
нагружать  нагрузить
нагружаться  нагрузиться
нагуливать  нагулять
надавливать  надавить
надбивать  надбить
надвигать  надвинуть
надвязывать  надвязать
надвязываться  надвязаться
надевать  надеть
наделять  наделить
наделяться  наделиться
надергивать  надернуть
надеяться  понадеяться
надираться  надраться
надобиться  понадобиться
надоедать  надоесть
надписывать  надписать
надрывать  надорвать
надрываться  надорваться
надсаживать  надсадить
надставлять  надставить
надстраивать  надстроить
надстраиваться  надстроиться
надувать  надуть1
надувать  надуть2
надуваться  надуться
надумывать  надумать
наедать  наесть
наедаться  наесться
наехать  понаехать
нажаривать  нажарить
нажариваться  нажариться
наживать  нажить
наживаться  нажиться
наживлять  наживить
наживляться  наживиться
нажимать  нажать
назначать  назначить
назревать  назреть
называть  назвать
называться  назваться
наигрывать  наиграть
наказывать  наказать1
накаливать  накалить
накаливаться  накалиться
накалывать  наколоть
накалываться  наколоться
накалять  накалить
накаляться  накалиться
накапливать  накопить
накапливаться  накопиться
накармливать  накормить
накармливаться  накормиться
накатывать  накатать
накатывать  накатить
накатываться  накатиться
накачивать  накачать
накачиваться  накачаться
накидывать  накидать
накидывать  накинуть
накидываться  накинуться
накипать  накипеть
накладываться  наложиться
наклеивать  наклеить
наклеиваться  наклеиться
наклонять  наклонить
наклоняться  наклониться
накрашивать  накрасить
накрашиваться  накраситься
накручивать  накрутить
накручиваться  накрутиться
накрывать  накрыть
накрываться  накрыться
накуривать  накурить
налаживать  наладить
налаживать связь  наладить связь
налаживаться  наладиться
налеплять  налепить
налепляться  налепиться
налетать  налететь
наливать  налить
наливаться  налиться
налипать  налипнуть
намагничивать  намагнитить
намагничиваться  намагнититься
намазывать  намазать
намазываться  намазаться
намасливать  намаслить
намасливаться  намаслиться
наматывать  намотать
наматываться  намотаться
намекать  намекнуть
намерзать  намерзнуть
наметать  намести
намечать  наметить
намечаться  наметиться
намокать  намокнуть
наморщивать  наморщить
наморщиваться  наморщиться
намыливать  намылить
намыливаться  намылиться
нанизывать  нанизать
нанизываться  нанизаться
нанимать  нанять
наниматься  наняться
наносить  нанести1
наносить  нанести2
нападать  напасть
напаивать  напаять
напаиваться  напаяться
напаривать  напарить
напариваться  напариться
напарывать  напороть
напарываться  напороться
напевать  напеть
напирать  напереть
напичкивать  напичкать
напичкиваться  напичкаться
наподдавать  наподдать
наползать  наползти
наполнять  наполнить
наполняться  наполниться
напоминать2  напомнить1
напоминать2  напомнить2
направлять1  направить1
направляться  направиться
напрашиваться  напроситься
напридумывать  напридумать
напруживать  напружить
напруживаться  напружиться
напружиниваться  напружиниться
напрыскивать  напрыскать
напрыскиваться  напрыскаться
напрягать  напрячь
напрягаться  напрячься
напудривать  напудрить
напудриваться  напудриться
напурачивать  напурачить
напурачиваться  напурачиться
напускать  напустить
напускаться  напуститься
напутывать  напутать
напутываться  напутаться
напылять  напылить
напяливать  напялить
нарабатывать  наработать
нарабатываться  наработаться
нарастать  нарасти
наращивать  нарастить
наращиваться  нараститься
нарождаться  народиться
нарумянивать  нарумянить
нарумяниваться  нарумяниться
нарушать  нарушить
нарушаться  нарушиться
нарывать  нарвать
нарываться  нарваться
наряжать  нарядить
наряжаться  нарядиться
насаждать  насадить
насаживать  насадить
насаживаться  насадиться
наседать  насесть
населять  населить
населяться  населиться
насиживать  насидеть
насиловать  изнасиловать
насильничать  снасильничать
наслаждаться  насладиться
наследовать  унаследовать
наследоваться  унаследоваться
наставать  настать
наставлять  наставить
настаивать1  настоять1
настаивать2  настоять2
настаиваться  настояться
настигать  настичь
настилать  настелить
настилаться  настелиться
настораживать  насторожить
настораживаться  насторожиться
настраивать  настроить1
настраивать  настроить2
настраиваться  настроиться
настрополять  настрополить
настрополяться  настрополиться
настряпывать  настряпать
наступать1  наступить1
насупливать  насупить
насупливаться  насупиться
насчитывать  насчитать
насчитываться  насчитаться
насылать  наслать
насыщать  насытить
насыщаться  насытиться
наталкивать  натолкнуть
наталкиваться  натолкнуться
натаскивать  натаскать
натаскивать  натащить
натаскиваться  натаскаться
натачивать  наточить
натачиваться  наточиться
натирать  натереть
натираться  натереться
натравливать  натравить
натравливаться  натравиться
натуживать  натужить
натыкать  наткнуть
натыкаться  наткнуться
натягивать  натянуть
натягиваться  натянуться
наушничать  снаушничать
нахватывать  нахватать
нахватываться  нахвататься
нахлобучивать  нахлобучить
нахлобучиваться  нахлобучиться
нахмуривать  нахмурить
нахмуриваться  нахмуриться
находить  найти
находиться  найтись
нацеливать  нацелить
нацеливаться  нацелиться
нацеплять  нацепить
нацепляться  нацепиться
начерчивать  начертить
начесывать  начесать
начесываться  начесаться
начинать  начать
начинаться  начаться
начинять  начинить
начиняться  начиниться
начислять  начислить
начисляться  начислиться
начищать  начистить
начищаться  начиститься
нашептывать  нашептать
нашивать1  нашить2
нашивать2  нашить2
нашлепывать  нашлепать
нащупывать  нащупать
нащупываться  нащупаться
не браться  не взяться
не бросать  не бросить
не вкладывать  не вложить
не вмешиваться  не вмешаться
не вникать  не вникнуть
не вставать  не встать
не встречать  не встретить
не выдавать  не выдать
не выдвигать  не выдвинуть
не выдерживать  не выдержать
не вызывать  не вызвать
не выказывать  не выказать
не выключать  не выключить
не выносить  не вынести
не выпадать  не выпасть
не выполнять  не выполнить
не давать  не дать
не двигаться  не двинуться
не догадываться  не догадаться
не доедать  не доесть
не доживать  не дожить
не допускать  не допустить
не дорабатывать  не доработать
не досиживать  не досидеть
не доставать  не достать
не доходить  не дойти
не забывать  не забыть
не заливать  не залить
не замечать  не заметить
не запирать  не запереть
не заслуживать  не заслужить
не извиняться  не извиниться
не исключать  не исключить
не лишаться  не лишиться
не нарушать  не нарушить
не обеспечивать  не обеспечить
не обижаться  не обидеться
не обнаруживать  не обнаружить
не обращать  не обратить
не обходить  не обойти
не одобрять  не одобрить
не опаздывать  не опоздать
не опускать  не опустить
не оскорблять  не оскорбить
не осмеливаться  не осмелиться
не оставаться  не остаться
не оставлять  не оставить
не отказывать  не отказать
не отражаться  не отразиться
не ошибаться  не ошибиться
не переводиться  не перевестись
не переносить  не перенести
не переходить  не перейти
не поворачиваться  не повернуться
не подниматься  не подняться
не подчиняться  не подчиниться
не позволять  не позволить
не покидать  не покинуть
не получать  не получить
не получаться  не получиться
не понимать  не понять
не попадаться  не попасться
не поступаться  не поступиться
не прекращать  не прекратить
не прибавлять  не прибавить
не придавать  не придать
не признавать  не признать
не притрагиваться  не притронуться
не проверять  не проверить
не проигрывать  не проиграть
не пропадать  не пропасть
не пропускать  не пропустить
не прощать  не простить
не прощаться  не проститься
не пускать  не пустить
не разбивать  не разбить
не решаться  не решиться
не сказываться  не сказаться
не смыкать  не сомкнуть
не соображать  не сообразить
не составлять  не составить
не срывать  не сорвать
не трогать  не тронуть
не уделять  не уделить
не удостаивать  не удостоить
не узнавать  не узнать
не уклоняться  не уклониться
не упускать  не упустить
не усложнять  не усложнить
не уступать  не уступить
не утрачивать  не утратить
не учитывать  не учесть
не хватать  не хватить
неволить  приневолить
негодовать  вознегодовать
недоваривать  недоварить
недовыполнять  недовыполнить
недовыполняться  недовыполниться
недодавать  недодать
недоедать  недоесть
недожаривать  недожарить
недожариваться  недожариться
недокапывать  недокопать
недоквашивать  недоквасить
недоквашиваться  недокваситься
недоливать  недолить
недомывать  недомыть
недомываться  недомыться
недонашивать  недоносить
недонашиваться  недоноситься
недоопределять  недоопределить
недооценивать  недооценить
недооцениваться  недооцениться
недоплачивать  недоплатить
недоползать  недоползти
недополучать  недополучить
недопонимать  недопонять
недопоставлять  недопоставить
недорабатывать  недоработать
недорисовывать  недорисовать
недорисовываться  недорисоваться
недосаливать  недосолить
недосаливаться  недосолиться
недосчитывать  недосчитать
недосчитываться  недосчитаться
недотягивать  недотянуть
недоукомплектовывать  недоукомплектовать
недоукомплектовываться  недоукомплектоваться
недоумевать  занедоумевать
недоучивать  недоучить
недоучиваться  недоучиться
нежить  изнежить
нежить  понежить
нежиться  изнежиться
нежничать  понежничать
неметь  онеметь
ненавидеть  возненавидеть
нервировать  разнервировать
нервироваться  разнервироваться
нервничать  занервничать
нервничать  перенервничать
нервничать  понервничать
нервничать  разнервничаться
нести  принести
низать  нанизать
низвергать  низвергнуть
низвергаться  низвергнуться
низводить  низвести
низводиться  низвестись
никелировать  отникелировать
никелироваться  отникелироваться
ниспровергать  ниспровергнуть
ниспровергаться  ниспровергнуться
нисходить  низойти
нищать  обнищать
нормировать  пронормировать
носиться  износиться
ночевать  переночевать
нравиться  понравиться
нудеть  занудеть
нумеровать  занумеровать
нумеровать  перенумеровать
нумеровать  пронумеровать
нырять  нырнуть
ныть  заныть
нюхать  нюхнуть
нюхать  понюхать
нянчить  понянчить
нянчиться  понянчиться
обагрять  обагрить
обагряться  обагриться
обалдевать  обалдеть
обарывать  обороть
оббегать  оббежать
оббивать  оббить
обваливать  обвалить
обваливать  обвалять
обваливаться  обвалиться
обваривать  обварить
обвариваться  обвариться
обвеивать  обвеять
обвертывать  обвернуть
обветривать  обветрить
обветриваться  обветриться
обвешивать  обвесить
обвешиваться  обвеситься
обвивать  обвить
обвинять  обвинить
обводить  обвести
обводнять  обводнить
обводняться  обводниться
обволакивать  обволочь
обворовывать  обворовать
обвыкать  обвыкнуть
обвязывать  обвязать
обвязываться  обвязаться
обгладывать  обглодать
обгонять  обогнать
обгорать  обгореть
обгрызать  обгрызть
обдавать  обдать
обдаваться  обдаться
обделывать  обделать
обделываться  обделаться
обделять  обделить
обделяться  обделиться
обдернять  обдернить
обдерняться  обдерниться
обдирать  ободрать
обдираться  ободраться
обдувать  обдуть
обдуваться  обдуться
обдумывать  обдумать
обегать  обежать
обедать  пообедать
обеднять  обеднить
обедняться  обедниться
обезболивать  обезболить
обезболиваться  обезболиться
обезвоживать  обезводить
обезвоживаться  обезводиться
обезволивать  обезволить
обезвреживать  обезвредить
обезвреживаться  обезвредиться
обезгаживать  обезгазить
обезглавливать  обезглавить
обезглавливаться  обезглавиться
обездоливать  обездолить
обезжиривать  обезжирить
обезжириваться  обезжириться
обеззараживать  обеззаразить
обеззараживаться  обеззаразиться
обезличивать  обезличить
обезличиваться  обезличиться
обезображивать  обезобразить
обезображиваться  обезобразиться
обезопашивать  обезопасить
обезоруживать  обезоружить
обезоруживаться  обезоружиться
обезумевать  обезуметь
обезьянничать  собезьянничать
обелять  обелить
обеляться  обелиться
оберегать  оберечь
оберегаться  оберечься
обертывать  обернуть
обертываться  обернуться3
обескровливать  обескровить
обескровливаться  обескровиться
обескураживать  обескуражить
обескураживаться  обескуражиться
обеспечивать  обеспечить
обеспечиваться  обеспечиться
обеспокоивать  обеспокоить
обеспокоиваться  обеспокоиться
обессиливать  обессилить
обесславливать  обесславить
обесславливаться  обесславиться
обесточивать  обесточить
обесточиваться  обесточиться
обесцвечивать  обесцветить
обесцвечиваться  обесцветиться
обесценивать  обесценить
обесцениваться  обесцениться
