PerfectForm,InitialForm
подивиться,дивиться
продиктовать,диктовать
продинамизировать,динамизировать
продирижировать,дирижировать
продистиллировать,дистиллировать
продистиллироваться,дистиллироваться
продисциплинировать,дисциплинировать
продифференцировать,дифференцировать
продифференцироваться,дифференцироваться
продиффундировать,диффундировать
одичать,дичать
продлить,длить
продлиться,длиться
добавить,добавлять
добавиться,добавляться
добежать,добегать
добить,добивать
добиться,добиваться
добрать,добирать
добраться,добираться
добросить,добрасывать
добрить,добривать
добриться,добриваться
добыть,добывать
доварить,доваривать
довариться,довариваться
довершить,довершать
довершиться,довершаться
доверить,доверять
довериться,доверяться
довести,доводить
довезти,довозить
удовольствоваться,довольствоваться
довязать,довязывать
довялить,довяливать
довялиться,довяливаться
догадаться,догадываться
догладить,доглаживать
догнить,догнивать
договорить,договаривать
договориться,договариваться
догнать,догонять
догореть,догорать
догрести,догребать
догрузить,догружать
догрузиться,догружаться
догулять,догуливать
доделать,доделывать
доделаться,доделываться
додумать,додумывать
додуматься,додумываться
доесть,доедать
доехать,доезжать
дожарить,дожаривать
дожариться,дожариваться
подождить,дождить
дожить,доживать
дождаться,дожидаться
дозволить,дозволять
передозировать,дозировать
дозреть,дозревать
доиграть,доигрывать
доиграться,доигрываться
подоить,доить
доказать,доказывать
докончить,доканчивать
докончиться,доканчиваться
докопать,докапывать
докопаться,докапываться
докосить,докашивать
доложить,докладывать
докрасить,докрашивать
докраситься,докрашиваться
задокументировать,документировать
задокументироваться,документироваться
докурить,докуривать
доломать,доламывать
доломаться,доламываться
долбануть,долбать
продолбить,долбить
долететь,долетать
долить,доливать
домарать,домарывать
домаслить,домасливать
домотать,доматывать
домотаться,доматываться
домахнуть,домахивать
домешать,домешивать
продоминировать,доминировать
домыть,домывать
домыться,домываться
донять,донимать
донести,доносить
донестись,доноситься
дополоть,допалывать
допороть,допарывать
допеть,допевать
допечь,допекать
допечься,допекаться
допечатать,допечатывать
допечататься,допечатываться
допить,допивать
допиться,допиваться
допилить,допиливать
допереть,допирать
дописать,дописывать
дописаться,дописываться
доплавить,доплавлять
доплатить,доплачивать
доплести,доплетать
доплыть,доплывать
дополоскать,дополаскивать
дополоскаться,дополаскиваться
доползти,доползать
дополнить,дополнять
дополниться,дополняться
допоставить,допоставлять
доправить,доправлять
допросить,допрашивать
допустить,допускать
допытаться,допытываться
доработать,дорабатывать
доработаться,дорабатываться
дорасти,дорастать
дорисовать,дорисовывать
подорожать,дорожать
дорулить,доруливать
раздосадовать,досадовать
раздосадоваться,досадовать
досадить,досаждать
досолить,досаливать
дослушать,дослушивать
досмотреть,досматривать
доспеть,доспевать
доспросить,доспрашивать
достать,доставать
достаться,доставаться
доставить,доставлять
достоять,достаивать
достеречь,достерегать
достигнуть,достигать
достичь,достигать
достелить,достилать
достирать,достирывать
достроить,достраивать
достроиться,достраиваться
достричь,достригать
достричься,достригаться
досудить,досуживать
досушить,досушивать
досушиться,досушиваться
досчитать,досчитывать
дослать,досылать
дослаться,досылаться
досыпать,досыпать
досохнуть,досыхать
дотащить,дотаскивать
дотащиться,дотаскиваться
доточить,дотачивать
дотесать,дотесывать
дотереть,дотирать
дотереться,дотираться
дотлеть,дотлевать
дотравить,дотравливать
дотронуться,дотрагиваться
дотрясти,дотрясать
дотянуть,дотягивать
дотянуться,дотягиваться
доукомплектовать,доукомплектовывать
доукомплектоваться,доукомплектовываться
доучить,доучивать
доучиться,доучиваться
дохлебать,дохлебывать
подохнуть,дохнуть
дойти,доходить
дочертить,дочерчивать
дочитать,дочитывать
дочистить,дочищать
дошить,дошивать
дояснить,дояснять
доясниться,доясняться
подразнить,дразнить
подразниться,дразниться
надраить,драить
надраиться,драиться
передраматизировать,драматизировать
драпануть,драпать
задрапировать,драпировать
задрапироваться,драпироваться
ободрать,драть
содрать,драть
подраться,драться
разодраться,драться
задребезжать,дребезжать
сдрейфить,дрейфить
задремать,дремать
подремать,дремать
продремать,дремать
выдрессировать,дрессировать
выдрессироваться,дрессироваться
раздробить,дробить
раздробиться,дробиться
задрогнуть,дрогнуть
задрожать,дрожать
подружиться,дружить
дрыгнуть,дрыгать
дрыгнуться,дрыгаться
одрябнуть,дрябнуть
одряхлеть,дряхлеть
отдубасить,дубасить
выдубить,дубить
выдубиться,дубиться
отдубиться,дубиться
задублировать,дублировать
продублировать,дублировать
продублироваться,дублироваться
подумать,думать
придумать,думать
одурачить,дурачить
одуреть,дуреть
сдуреть,дуреть
вздурить,дурить
одурманить,дурманить
одурманиться,дурманиться
подурнеть,дурнеть
дунуть,дуть
задуть,дуть
надуться,дуться
задушить,душить
надушиться,душиться
вздыбиться,дыбиться
задымить,дымить
задымиться,дымиться
задышать,дышать
подышать,дышать
раздюжеть,дюжеть
съежиться,ежиться
съездить,ездить
заекать,екать
поелозить,елозить
ерзнуть,ерзать
заерзать,ерзать
поерничать,ерничать
заершиться,ершиться
поесть,есть
съесть,есть
поехать,ехать
поехидничать,ехидничать
съехидничать,ехидничать
пожадничать,жадничать
пожалеть,жалеть
ужалить,жалить
пожаловать,жаловать
пожаловаться,жаловаться
поджарить,жарить
зажариться,жариться
нажариться,жариться
поджариться,жариться
пожариться,жариться
прожариться,жариться
сжариться,жариться
нажать,жать
сжать,жать
жахнуть,жахать
подождать,ждать
пожевать,жевать
прожевать,жевать
разжевать,жевать
сжевать,жевать
пожеваться,жеваться
прожеваться,жеваться
пожелать,желать
пожелтеть,желтеть
пожеманиться,жеманиться
поженить,женить
пожениться,жениться
ожеребиться,жеребиться
пожертвовать,жертвовать
зажестикулировать,жестикулировать
зажечь,жечь
сжечь,жечь
оживотворить,животворить
ожиреть,жиреть
разжиреть,жиреть
пожмотничать,жмотничать
зажмурить,жмурить
зажмуриться,жмуриться
сожрать,жрать
зажужжать,жужжать
прожужжать,жужжать
пожурить,журить
зажурчать,журчать
пожухнуть,жухнуть
заарканить,заарканивать
позабавлять,забавлять
позабавиться,забавляться
позабавляться,забавляться
заболтать,забалтывать
забежать,забегать
забелить,забелять
забить,забивать
забрать,забирать
забраться,забираться
заболотить,заболачивать
заболотиться,заболачиваться
озаботить,заботить
позаботиться,заботиться
забросить,забрасывать
заброситься,забрасываться
забрызгать,забрызгивать
забыть,забывать
завалить,заваливать
завалиться,заваливаться
заварить,заваривать
завариться,завариваться
завощить,заващивать
завернуть,завертывать
завернуться,завертываться
завершить,завершать
завершиться,завершаться
заверить,заверять
завериться,заверяться
обзавестись,завестись
завесить,завешивать
завить,завивать
завиться,завиваться
позавидовать,завидовать
завинтить,завинчивать
завинтиться,завинчиваться
зависнуть,зависать
завлечь,завлекать
завести,заводить
завестись,заводиться
завоевать,завоевывать
завезти,завозить
заволочь,заволакивать
заворожиться,завораживаться
позавтракать,завтракать
завысить,завышать
завязать,завязывать
завязаться,завязываться
загадать,загадывать
загадить,загаживать
загнуть,загибать
загнуться,загибаться
загладить,заглаживать
загладиться,заглаживаться
заглубить,заглублять
заглубиться,заглубляться
заглянуть,заглядывать
заглядеться,заглядываться
заговорить,заговаривать
загнать,загонять
загородить,загораживать
загородиться,загораживаться
загореть,загорать
загореться,загораться
заготовить,заготавливать
заграбастать,заграбастывать
заградить,заграждать
загрести,загребать
загромоздить,загромождать
загромоздиться,загромождаться
загрубеть,загрубевать
загрузить,загружать
загрузиться,загружаться
задобрить,задабривать
задать,задавать
задаться,задаваться
задвинуть,задвигать
задеть,задевать
заделать,заделывать
задернуть,задергивать
задернуться,задергиваться
задержать,задерживать
задержаться,задерживаться
задраить,задраивать
задраиться,задраиваться
задумать,задумывать
задуматься,задумываться
задурманить,задурманивать
задурманиться,задурманиваться
задохнуться,задыхаться
заесть,заедать
заехать,заезжать
зажарить,зажаривать
зажить,заживать
заживить,заживлять
заживиться,заживляться
зажечься,зажигаться
зажилить,зажиливать
зажать,зажимать
зажаться,зажиматься
зажраться,зажираться
зажулить,зажуливать
заземлить,заземлять
заземлиться,заземляться
зазвать,зазывать
заиграть,заигрывать
заикнуться,заикаться
позаимствовать,заимствовать
заинтересовать,заинтересовывать
заинтересоваться,заинтересовываться
позаискивать,заискивать
закабалить,закабалять
заказать,заказывать
закалить,закаливать
закалиться,закаливаться
заколоть,закалывать
заколоться,закалываться
закончить,заканчивать
закончиться,заканчиваться
закопать,закапывать
закопаться,закапываться
закормить,закармливать
закатать,закатывать
закатить,закатывать
закатиться,закатываться
закашляться,закашливаться
заквасить,заквашивать
закваситься,заквашиваться
закидать,закидывать
закинуть,закидывать
закипеть,закипать
закиснуть,закисать
закислить,закислять
заложить,закладывать
заклеить,заклеивать
заклеиться,заклеиваться
заключить,заключать
заковать,заковывать
заколотить,заколачивать
законопатить,законопачивать
законопатиться,законопачиваться
законтрить,законтривать
закоптеть,закоптевать
закоротить,закорачивать
закоротиться,закорачиваться
закоренеть,закореневать
закоснеть,закосневать
закрасться,закрадываться
закрасить,закрашивать
закраситься,закрашиваться
закрепить,закреплять
закрепиться,закрепляться
закрепостить,закрепощать
закрепоститься,закрепощаться
закруглить,закруглять
закруглиться,закругляться
закрутить,закручивать
закрутиться,закручиваться
закрыть,закрывать
закрыться,закрываться
закупить,закупать
закупорить,закупоривать
закупориться,закупориваться
закурить,закуривать
закусить,закусывать
закутать,закутывать
закутаться,закутываться
заломать,заламывать
залапать,залапывать
залапаться,залапываться
залатать,залатывать
залататься,залатываться
залежаться,залеживаться
залезть,залезать
залепить,залеплять
залететь,залетать
залечить,залечивать
залечиться,залечиваться
залить,заливать
залиться,заливаться
зализать,зализывать
залипнуть,залипать
залудить,залуживать
залучить,залучать
заляпать,заляпывать
заляпаться,заляпываться
замазать,замазывать
замазаться,замазываться
замолвить,замалвливать
замолить,замаливать
замолчать,замалчивать
заманить,заманивать
заманиться,заманиваться
замарать,замарывать
замараться,замарываться
замаскировать,замаскировывать
замаскироваться,замаскировываться
замаслить,замасливать
замаслиться,замасливаться
замотать,заматывать
замотаться,заматываться
замахнуть,замахивать
замахнуться,замахиваться
замочить,замачивать
замочиться,замачиваться
замедлить,замедлять
замедлиться,замедляться
заменить,заменять
замениться,заменяться
замерзнуть,замерзать
замерить,замерять
замериться,замеряться
замести,заметать
заметить,замечать
замесить,замешивать
замешать,замешивать
замешаться,замешиваться
замешкаться,замешкиваться
заместить,замещать
заместиться,замещаться
замять,заминать
замяться,заминаться
замереть,замирать
замирить,замирять
замириться,замиряться
замолкнуть,замолкать
заморозить,замораживать
заморочить,заморачивать
заморочиться,заморачиваться
замуровать,замуровывать
замуроваться,замуровываться
замуслить,замусливать
замуслиться,замусливаться
замусорить,замусоривать
замусориться,замусориваться
замучить,замучивать
замыть,замывать
замыться,замываться
замкнуть,замыкать
замкнуться,замыкаться
замылить,замыливать
замылиться,замыливаться
замыслить,замышлять
замыслиться,замышляться
занавесить,занавешивать
занавеситься,занавешиваться
занизить,занижать
занизиться,занижаться
занять,занимать
заняться,заниматься
занести,заносить
заострить,заострять
заостриться,заостряться
запоздать,запаздывать
запаять,запаивать
запаковать,запаковывать
запаковаться,запаковываться
запарить,запаривать
запариться,запариваться
запасти,запасать
запастись,запасаться
запеть,запевать
запечь,запекать
запечься,запекаться
запенить,запенивать
запениться,запениваться
запечатлеть,запечатлевать
запечатлеться,запечатлеваться
запечатать,запечатывать
запить,запивать
запнуться,запинаться
запереть,запирать
запереться,запираться
записать,записывать
записаться,записываться
запитать,запитывать
запитаться,запитываться
запихать,запихивать
запихнуть,запихивать
запихнуться,запихиваться
запичкать,запичкивать
запичкаться,запичкиваться
заплести,заплетать
заплестись,заплетаться
заползти,заползать
заполнить,заполнять
заполниться,заполняться
заполонить,заполонять
запомнить,запоминать
запомниться,запоминаться
запотеть,запотевать
заправить,заправлять
заправиться,заправляться
запросить,запрашивать
запретить,запрещать
запрокинуть,запрокидывать
запрокинуться,запрокидываться
запрудить,запруживать
запрыгнуть,запрыгивать
запрячь,запрягать
запрячься,запрягаться
запрятать,запрятывать
запрятаться,запрятываться
запугать,запугивать
запустить,запускать
запуститься,запускаться
перезапуститься,запуститься
запутать,запутывать
запутаться,запутываться
запухнуть,запухать
запылить,запылять
запылиться,запыляться
заработать,зарабатывать
заровнять,заравнивать
заровняться,заравниваться
заразить,заражать
заразиться,заражаться
зарасти,зарастать
зарешетить,зарешечивать
зарисовать,зарисовывать
позариться,зариться
зародиться,зарождаться
зарулить,заруливать
заручиться,заручаться
зарыть,зарывать
зарыться,зарываться
зарядить,заряжать
зарядиться,заряжаться
засадить,засаживать
засесть,засаживаться
засалить,засаливать
засолить,засаливать
засалиться,засаливаться
засосать,засасывать
засосаться,засасываться
засахариться,засахариваться
засеять,засевать
прозаседать,заседать
засекретить,засекречивать
засекретиться,засекречиваться
заселить,заселять
заселиться,заселяться
засидеть,засиживать
засидеться,засиживаться
засинить,засинивать
засрать,засирать
заскочить,заскакивать
заслонить,заслонять
заслониться,заслоняться
заслужить,заслуживать
заслушать,заслушивать
заслушаться,заслушиваться
засмотреться,засматриваться
засмеять,засмеивать
засорить,засорять
засориться,засоряться
застать,заставать
заставить,заставлять
застегнуть,застегивать
застегнуться,застегиваться
застеклить,застеклять
застеклиться,застекляться
застелить,застелять
застелиться,застеляться
застигнуть,застигать
застичь,застигать
застлать,застилать
застирать,застирывать
застираться,застирываться
застопорить,застопоривать
застопориться,застопориваться
застроить,застраивать
застроиться,застраиваться
застудить,застуживать
застудиться,застуживаться
заступить,заступать
заступиться,заступаться
застынуть,застывать
застыть,застывать
засучить,засучивать
засучиться,засучиваться
засушить,засушивать
засушиться,засушиваться
засчитать,засчитывать
засчитаться,засчитываться
заслать,засылать
засыпать,засыпать
заснуть,засыпать
засохнуть,засыхать
затаить,затаивать
затаиться,затаиваться
затолкать,заталкивать
затолкнуть,заталкивать
затолкаться,заталкиваться
затопить,затапливать
затоптать,затаптывать
затоптаться,затаптываться
затарить,затаривать
затариться,затариваться
затащить,затаскивать
затащиться,затаскиваться
заточить,затачивать
затворить,затворять
затвориться,затворяться
затеять,затевать
затеяться,затеваться
затечь,затекать
затемнить,затемнять
затемниться,затемняться
затенить,затенять
затениться,затеняться
затиснуть,затискивать
затихнуть,затихать
затмить,затмевать
затмиться,затмеваться
затормозить,затормаживать
затормозиться,затормаживаться
затравить,затравливать
затронуть,затрагивать
затратить,затрачивать
затруднить,затруднять
затрудниться,затрудняться
затуманить,затуманивать
затуманиться,затуманиваться
затупить,затуплять
затупиться,затупляться
затухнуть,затухать
затушевать,затушевывать
затушеваться,затушевываться
заткнуть,затыкать
заткнуться,затыкаться
затюкать,затюкивать
затянуть,затягивать
затянуться,затягиваться
подзатянуться,затянуться
заузить,заужать
заузиться,заужаться
заутюжить,заутюживать
заутюжиться,заутюживаться
заучить,заучивать
захвалить,захваливать
захватить,захватывать
захиреть,захиревать
захламить,захламлять
захламиться,захламляться
захлебнуться,захлебываться
захлестнуть,захлестывать
захлопать,захлопывать
захлопнуть,захлопывать
захлопнуться,захлопываться
зайти,заходить
зайтись,заходиться
зацепить,зацеплять
зацепиться,зацепляться
зациклить,зацикливать
зациклиться,зацикливаться
зачеркнуть,зачеркивать
зачерпнуть,зачерпывать
зачесать,зачесывать
зачесаться,зачесываться
зачать,зачинать
зачислить,зачислять
зачислиться,зачисляться
зачесть,зачитывать
зачитать,зачитывать
зачесться,зачитываться
зачистить,зачищать
зачиститься,зачищаться
зашить,зашивать
зашиться,зашиваться
зашифровать,зашифровывать
зашифроваться,зашифровываться
зашкалить,зашкаливать
зашлаковать,зашлаковывать
зашлаковаться,зашлаковываться
зашнуровать,зашнуровывать
зашнуроваться,зашнуровываться
зашпаклевать,зашпаклевывать
зашпаклеваться,зашпаклевываться
заштопать,заштопывать
заштопаться,заштопываться
зашторить,зашторивать
зашториться,зашториваться
заштриховать,заштриховывать
заштриховаться,заштриховываться
защелкнуть,защелкивать
защелкнуться,защелкиваться
защемить,защемлять
защемиться,защемляться
защитить,защищать
защититься,защищаться
защурить,защуривать
защуриться,защуриваться
заявить,заявлять
заявиться,заявляться
позвать,звать
прозвенеть,звенеть
озвереть,звереть
зазвонить,звонить
прозвучать,звучать
поздороваться,здороваться
поздороветь,здороветь
зевнуть,зевать
зазеленеть,зеленеть
позеленеть,зеленеть
перезимовать,зимовать
разозлить,злить
разозлиться,злиться
позлорадствовать,злорадствовать
позлословить,злословить
злоупотребить,злоупотреблять
познакомить,знакомить
познакомиться,знакомиться
ознаменовать,знаменовать
ознаменоваться,знаменоваться
узнать,знать
обозначить,значить
позолотить,золотить
зазомбировать,зомбировать
прозондировать,зондировать
прозондироваться,зондироваться
созреть,зреть
вызубрить,зубрить
зазудеть,зудеть
зыркнуть,зыркать
озябнуть,зябнуть
проигнорировать,игнорировать
проигнорироваться,игнорироваться
сыграть,играть
заиграться,играться
наиграться,играться
проидеализировать,идеализировать
пойти,идти
избавить,избавлять
избавиться,избавляться
избегнуть,избегать
избежать,избегать
избить,избивать
избрать,избирать
избраться,избираться
изведать,изведывать
извергнуть,извергать
извергнуться,извергаться
известить,извещать
извинить,извинять
извиниться,извиняться
извлечь,извлекать
извести,изводить
известись,изводиться
соизволить,изволить
извернуться,изворачиваться
извратить,извращать
извратиться,извращаться
изогнуть,изгибать
изогнуться,изгибаться
изгладить,изглаживать
изгладиться,изглаживаться
изготовить,изготавливать
изготовиться,изготавливаться
издать,издавать
поиздеваться,издеваться
издохнуть,издыхать
изжарить,изжаривать
изжить,изживать
изжиться,изживаться
изложить,излагать
изломать,изламывать
излечить,излечивать
излечиться,излечиваться
излить,изливать
излиться,изливаться
измазать,измазывать
измазаться,измазываться
измарать,измарывать
измараться,измарываться
измотать,изматывать
измотаться,изматываться
измельчить,измельчать
измельчиться,измельчаться
изменить,изменять
измениться,изменяться
измерить,измерять
измериться,измеряться
измять,изминать
измяться,изминаться
измучить,измучивать
измучиться,измучиваться
измылить,измыливать
измылиться,измыливаться
износить,изнашивать
износиться,изнашиваться
изнежить,изнеживать
изнежиться,изнеживаться
изнемочь,изнемогать
изничтожить,изничтожать
изничтожиться,изничтожаться
изнурить,изнурять
изнуриться,изнуряться
изобличить,изобличать
изобличиться,изобличаться
изобразить,изображать
изобрести,изобретать
заизолировать,изолировать
изощрить,изощрять
изощриться,изощряться
изречь,изрекать
изувериться,изуверяться
изувечить,изувечивать
изувечиться,изувечиваться
изукрасить,изукрашать
изумить,изумлять
изумиться,изумляться
изучить,изучать
изъявить,изъявлять
изъязвить,изъязвлять
изъять,изымать
изыскать,изыскивать
проиллюстрировать,иллюстрировать
заиметь,иметь
поиметь,иметь
сымитировать,имитировать
проимпрегнировать,импрегнировать
сымпровизировать,импровизировать
проинвентаризовать,инвентаризовать
проинвестировать,инвестировать
проинвестироваться,инвестироваться
проингибировать,ингибировать
проиндексировать,индексировать
проиндексироваться,индексироваться
проиндивидуализировать,индивидуализировать
проиндустриализировать,индустриализировать
проинициализировать,инициализировать
проинкорпорировать,инкорпорировать
проинспектировать,инспектировать
проинспектироваться,инспектироваться
проинспирировать,инспирировать
проинспирироваться,инспирироваться
проинсталлировать,инсталлировать
проинсталлироваться,инсталлироваться
проинструктировать,инструктировать
проинструктироваться,инструктироваться
сынсценировать,инсценировать
проинтегрировать,интегрировать
проинтегрироваться,интегрироваться
проинтерполировать,интерполировать
проинтерполироваться,интерполироваться
проинтерпретировать,интерпретировать
проинтерпретироваться,интерпретироваться
заинтриговать,интриговать
проинформировать,информировать
проинформироваться,информироваться
исказить,искажать
исказиться,искажаться
искалечить,искалечивать
искалечиться,искалечиваться
отыскать,искать
приискать,искать
исключить,исключать
искоренить,искоренять
искорениться,искореняться
искрошить,искрашивать
искрошиться,искрашиваться
искривить,искривлять
искривиться,искривляться
искровенить,искровенять
искупить,искупать
искурить,искуривать
искусать,искусывать
искусить,искушать
искуситься,искушаться
испарить,испарять
испариться,испаряться
испечь,испекать
испепелить,испепелять
испепелиться,испепеляться
испестрить,испестрять
испещрить,испещрять
испить,испивать
исписать,исписывать
исписаться,исписываться
исповедать,исповедовать
исповедаться,исповедоваться
испоганить,испоганивать
испоганиться,испоганиваться
исполнить,исполнять
исполниться,исполняться
испошлить,испошлять
испошлиться,испошляться
исправить,исправлять
исправиться,исправляться
испражниться,испражняться
испросить,испрашивать
испрепать,испрепывать
испустить,испускать
испытать,испытывать
иссечь,иссекать
происследовать,исследовать
иссушить,иссушать
иссушиться,иссушаться
иссякнуть,иссякать
истечь,истекать
истереть,истирать
истереться,истираться
истлеть,истлевать
истолковать,истолковывать
истолковаться,истолковываться
истомить,истомлять
истомиться,истомляться
истончиться,истончаться
исторгнуть,исторгать
истощить,истощать
истощиться,истощаться
истратить,истрачивать
истребить,истреблять
истребиться,истребляться
истрепать,истрепывать
истрепаться,истрепываться
исцелить,исцелять
исцелиться,исцеляться
исчезнуть,исчезать
исчерпать,исчерпывать
исчерпаться,исчерпываться
исчислить,исчислять
исчислиться,исчисляться
покадить,кадить
показаться,казаться
покалечить,калечить
покалечиться,калечиться
раскалить,калить
скалькировать,калькировать
скалькироваться,калькироваться
окаменеть,каменеть
наканифолить,канифолить
капнуть,капать
накапать,капать
закапризничать,капризничать
вскарабкаться,карабкаться
покарать,карать
покарябать,карябать
покарябаться,карябаться
коснуться,касаться
раскаталогизировать,каталогизировать
покатать,катать
укатать,катать
покататься,кататься
покатить,катить
покатиться,катиться
перекачать,качать
скачать,качать
закачать,качать
раскачать,качать
закачаться,качаться
качнуться,качаться
раскачаться,качаться
закашлять,кашлять
покашлять,кашлять
покаяться,каяться
раскаяться,каяться
накернить,кернить
кивнуть,кивать
кинуть,кидать
кинуться,кидаться
вскипятить,кипятить
вскипятиться,кипятиться
прокипятиться,кипятиться
прокиснуть,киснуть
скиснуть,киснуть
закишеть,кишеть
поклониться,кланяться
раскланяться,кланяться
расклассифицировать,классифицировать
покласть,класть
положить,класть
наклаузничать,клаузничать
клюнуть,клевать
оклеветать,клеветать
наклеить,клеить
склеить,клеить
приклеиться,клеиться
склеиться,клеиться
заклеймить,клеймить
заклинить,клинить
склишировать,клишировать
склонить,клонить
наклониться,клониться
клюкнуть,клюкать
проклясть,клясть
поклясться,клясться
сковать,ковать
выковаться,коваться
