perfForm,infForm
загореть,загорать
заготовить,заготавливать
заграбастать,заграбастывать
заградить,заграждать
загрести,загребать
загромоздить,загромождать
загрубеть,загрубевать
загрузить,загружать
задобрить,задабривать
задать,задавать
задвинуть,задвигать
задеть,задевать
заделать,заделывать
задернуть,задергивать
задержать,задерживать
задраить,задраивать
задумать,задумывать
задурманить,задурманивать
задохнуть,задыхать
заесть,заедать
заехать,заезжать
зажить,заживать
заживить,заживлять
зажилить,зажиливать
зажать,зажимать
зажрать,зажирать
зажулить,зажуливать
заземлить,заземлять
зазвать,зазывать
заиграть,заигрывать
заикнуть,заикать
позаимствовать,заимствовать
заинтересовать,заинтересовывать
позаискивать,заискивать
закабалить,закабалять
заказать,заказывать
закалить,закаливать
заколоть,закалывать
закончить,заканчивать
закопать,закапывать
закормить,закармливать
закатать,закатывать
закатить,закатывать
закашлять,закашливать
заквасить,заквашивать
закидать,закидывать
закинуть,закидывать
закипеть,закипать
закиснуть,закисать
закислить,закислять
заложить,закладывать
заклеить,заклеивать
заключить,заключать
заковать,заковывать
заколотить,заколачивать
законопатить,законопачивать
законтрить,законтривать
закоптеть,закоптевать
закоротить,закорачивать
закоренеть,закореневать
закоснеть,закосневать
закрасть,закрадывать
закрасить,закрашивать
закрепить,закреплять
закрепостить,закрепощать
закруглить,закруглять
закрутить,закручивать
закрыть,закрывать
закупить,закупать
закупорить,закупоривать
закурить,закуривать
закусить,закусывать
закутать,закутывать
заломать,заламывать
залапать,залапывать
залатать,залатывать
залежать,залеживать
залезть,залезать
залепить,залеплять
залететь,залетать
залечить,залечивать
залить,заливать
зализать,зализывать
залипнуть,залипать
залудить,залуживать
залучить,залучать
заляпать,заляпывать
замазать,замазывать
замолвить,замалвливать
замолить,замаливать
замолчать,замалчивать
заманить,заманивать
замарать,замарывать
замаскировать,замаскировывать
замаслить,замасливать
замотать,заматывать
замахнуть,замахивать
замочить,замачивать
замедлить,замедлять
заменить,заменять
замерзнуть,замерзать
замерить,замерять
замести,заметать
заметить,замечать
замесить,замешивать
замешать,замешивать
замешкать,замешкивать
заместить,замещать
замять,заминать
замереть,замирать
замирить,замирять
замолкнуть,замолкать
заморозить,замораживать
заморочить,заморачивать
замуровать,замуровывать
замуслить,замусливать
замусорить,замусоривать
замучить,замучивать
замыть,замывать
замкнуть,замыкать
замылить,замыливать
замыслить,замышлять
занавесить,занавешивать
занизить,занижать
занять,занимать
занести,заносить
заострить,заострять
запоздать,запаздывать
запаять,запаивать
запаковать,запаковывать
запарить,запаривать
запасти,запасать
запеть,запевать
запечь,запекать
запенить,запенивать
запечатлеть,запечатлевать
запечатать,запечатывать
запить,запивать
запнуть,запинать
запереть,запирать
записать,записывать
запитать,запитывать
запихать,запихивать
запихнуть,запихивать
запичкать,запичкивать
заплести,заплетать
заползти,заползать
заполнить,заполнять
заполонить,заполонять
запомнить,запоминать
запотеть,запотевать
заправить,заправлять
запросить,запрашивать
запретить,запрещать
запрокинуть,запрокидывать
запрудить,запруживать
запрыгнуть,запрыгивать
запрячь,запрягать
запрятать,запрятывать
запугать,запугивать
запустить,запускать
перезапустить,запустить
запутать,запутывать
запухнуть,запухать
запылить,запылять
заработать,зарабатывать
заровнять,заравнивать
заразить,заражать
зарасти,зарастать
зарешетить,зарешечивать
зарисовать,зарисовывать
позарить,зарить
зародить,зарождать
зарулить,заруливать
заручить,заручать
зарыть,зарывать
зарядить,заряжать
засадить,засаживать
засесть,засаживать
засалить,засаливать
засолить,засаливать
засосать,засасывать
засахарить,засахаривать
засеять,засевать
прозаседать,заседать
засекретить,засекречивать
заселить,заселять
засидеть,засиживать
засинить,засинивать
засрать,засирать
заскочить,заскакивать
заслонить,заслонять
заслужить,заслуживать
заслушать,заслушивать
засмотреть,засматривать
засмеять,засмеивать
засорить,засорять
застать,заставать
заставить,заставлять
застегнуть,застегивать
застеклить,застеклять
застелить,застелять
застигнуть,застигать
застичь,застигать
застлать,застилать
застирать,застирывать
застопорить,застопоривать
застроить,застраивать
застудить,застуживать
заступить,заступать
застынуть,застывать
застыть,застывать
засучить,засучивать
засушить,засушивать
засчитать,засчитывать
заслать,засылать
засыпать,засыпать
заснуть,засыпать
засохнуть,засыхать
затаить,затаивать
затолкать,заталкивать
затолкнуть,заталкивать
затопить,затапливать
затоптать,затаптывать
затарить,затаривать
затащить,затаскивать
заточить,затачивать
затворить,затворять
затеять,затевать
затечь,затекать
затемнить,затемнять
затенить,затенять
затиснуть,затискивать
затихнуть,затихать
затмить,затмевать
затормозить,затормаживать
затравить,затравливать
затронуть,затрагивать
затратить,затрачивать
затруднить,затруднять
затуманить,затуманивать
затупить,затуплять
затухнуть,затухать
затушевать,затушевывать
заткнуть,затыкать
затюкать,затюкивать
затянуть,затягивать
подзатянуть,затянуть
заузить,заужать
заутюжить,заутюживать
заучить,заучивать
захвалить,захваливать
захватить,захватывать
захиреть,захиревать
захламить,захламлять
захлебнуть,захлебывать
захлестнуть,захлестывать
захлопать,захлопывать
захлопнуть,захлопывать
зайти,заходить
зацепить,зацеплять
зациклить,зацикливать
зачеркнуть,зачеркивать
зачерпнуть,зачерпывать
зачесать,зачесывать
зачать,зачинать
зачислить,зачислять
зачесть,зачитывать
зачитать,зачитывать
зачистить,зачищать
зашить,зашивать
зашифровать,зашифровывать
зашкалить,зашкаливать
зашлаковать,зашлаковывать
зашнуровать,зашнуровывать
зашпаклевать,зашпаклевывать
заштопать,заштопывать
зашторить,зашторивать
заштриховать,заштриховывать
защелкнуть,защелкивать
защемить,защемлять
защитить,защищать
защурить,защуривать
заявить,заявлять
позвать,звать
прозвенеть,звенеть
озвереть,звереть
зазвонить,звонить
прозвучать,звучать
поздоровать,здоровать
поздороветь,здороветь
зевнуть,зевать
зазеленеть,зеленеть
позеленеть,зеленеть
перезимовать,зимовать
разозлить,злить
позлорадствовать,злорадствовать
позлословить,злословить
злоупотребить,злоупотреблять
познакомить,знакомить
ознаменовать,знаменовать
узнать,знать
обозначить,значить
позолотить,золотить
зазомбировать,зомбировать
прозондировать,зондировать
созреть,зреть
вызубрить,зубрить
зазудеть,зудеть
зыркнуть,зыркать
озябнуть,зябнуть
проигнорировать,игнорировать
сыграть,играть
наиграть,играть
проидеализировать,идеализировать
пойти,идти
избавить,избавлять
избегнуть,избегать
избежать,избегать
избить,избивать
избрать,избирать
изведать,изведывать
извергнуть,извергать
известить,извещать
извинить,извинять
извлечь,извлекать
извести,изводить
соизволить,изволить
извернуть,изворачивать
извратить,извращать
изогнуть,изгибать
изгладить,изглаживать
изготовить,изготавливать
издать,издавать
поиздевать,издевать
издохнуть,издыхать
изжарить,изжаривать
изжить,изживать
изложить,излагать
изломать,изламывать
излечить,излечивать
излить,изливать
измазать,измазывать
измарать,измарывать
измотать,изматывать
измельчить,измельчать
изменить,изменять
измерить,измерять
измять,изминать
измучить,измучивать
измылить,измыливать
износить,изнашивать
изнежить,изнеживать
изнемочь,изнемогать
изничтожить,изничтожать
изнурить,изнурять
изобличить,изобличать
изобразить,изображать
изобрести,изобретать
заизолировать,изолировать
изощрить,изощрять
изречь,изрекать
изуверить,изуверять
изувечить,изувечивать
изукрасить,изукрашать
изумить,изумлять
изучить,изучать
изъявить,изъявлять
изъязвить,изъязвлять
изъять,изымать
изыскать,изыскивать
проиллюстрировать,иллюстрировать
заиметь,иметь
поиметь,иметь
сымитировать,имитировать
проимпрегнировать,импрегнировать
сымпровизировать,импровизировать
проинвентаризовать,инвентаризовать
проинвестировать,инвестировать
проингибировать,ингибировать
проиндексировать,индексировать
проиндивидуализировать,индивидуализировать
проиндустриализировать,индустриализировать
проинициализировать,инициализировать
проинкорпорировать,инкорпорировать
проинспектировать,инспектировать
проинспирировать,инспирировать
проинсталлировать,инсталлировать
проинструктировать,инструктировать
сынсценировать,инсценировать
проинтегрировать,интегрировать
проинтерполировать,интерполировать
проинтерпретировать,интерпретировать
заинтриговать,интриговать
проинформировать,информировать
исказить,искажать
искалечить,искалечивать
отыскать,искать
приискать,искать
исключить,исключать
искоренить,искоренять
искрошить,искрашивать
искривить,искривлять
искровенить,искровенять
искупить,искупать
искурить,искуривать
искусать,искусывать
искусить,искушать
испарить,испарять
испечь,испекать
испепелить,испепелять
испестрить,испестрять
испещрить,испещрять
испить,испивать
исписать,исписывать
исповедать,исповедовать
испоганить,испоганивать
исполнить,исполнять
испошлить,испошлять
исправить,исправлять
испражнить,испражнять
испросить,испрашивать
испрепать,испрепывать
испустить,испускать
испытать,испытывать
иссечь,иссекать
происследовать,исследовать
иссушить,иссушать
искнуть,искать
истечь,истекать
истереть,истирать
истлеть,истлевать
истолковать,истолковывать
истомить,истомлять
истончить,истончать
исторгнуть,исторгать
истощить,истощать
истратить,истрачивать
истребить,истреблять
истрепать,истрепывать
исцелить,исцелять
исчезнуть,исчезать
исчерпать,исчерпывать
исчислить,исчислять
покадить,кадить
показать,казать
покалечить,калечить
раскалить,калить
скалькировать,калькировать
окаменеть,каменеть
наканифолить,канифолить
капнуть,капать
накапать,капать
закапризничать,капризничать
вскарабкать,карабкать
покарать,карать
покарябать,карябать
коснуть,касать
раскаталогизировать,каталогизировать
покатать,катать
укатать,катать
покатить,катить
перекачать,качать
скачать,качать
закачать,качать
раскачать,качать
качнуть,качать
покашлять,кашлять
покаять,каять
раскаять,каять
накернить,кернить
кивнуть,кивать
кинуть,кидать
вскипятить,кипятить
прокипятить,кипятить
прокиснуть,киснуть
скиснуть,киснуть
закишеть,кишеть
поклонить,кланять
раскланять,кланять
расклассифицировать,классифицировать
покласть,класть
положить,класть
наклаузничать,клаузничать
клюнуть,клевать
оклеветать,клеветать
наклеить,клеить
склеить,клеить
приклеить,клеить
заклеймить,клеймить
заклинить,клинить
склишировать,клишировать
склонить,клонить
наклонить,клонить
клюкнуть,клюкать
проклясть,клясть
поклясть,клясть
сковать,ковать
расковать,ковать
исковеркать,коверкать
ковырнуть,ковырять
поковырять,ковырять
закодировать,кодировать
козырнуть,козырять
пококетничать,кокетничать
околдовать,колдовать
поколебать,колебать
исколесить,колесить
заколосить,колосить
поколотить,колотить
уколоть,колоть
исколошматить,колошматить
отколошматить,колошматить
колупнуть,колупать
колыхнуть,колыхать
заколыхать,колыхать
окольцевать,кольцевать
поколядовать,колядовать
откомандировать,командировать
скомандовать,командовать
скомбинировать,комбинировать
скомкать,комкать
скомковать,комковать
прокомментировать,комментировать
скоммутировать,коммутировать
скомпарировать,компарировать
скомпаундировать,компаундировать
скомпенсировать,компенсировать
скомпилировать,компилировать
скомплексировать,комплексировать
закомплексовать,комплексовать
скомплектовать,комплектовать
укомплектовать,комплектовать
скомпоновать,компоновать
закомпостировать,компостировать
прокомпостировать,компостировать
скомпрессировать,компрессировать
скомпрометировать,компрометировать
сконвертировать,конвертировать
законвертовать,конвертовать
отконвоировать,конвоировать
сконденсировать,конденсировать
проконкретизировать,конкретизировать
поконкурировать,конкурировать
законсервировать,консервировать
законспектировать,конспектировать
законспирировать,конспирировать
проконстатировать,констатировать
сконструировать,конструировать
проконсультировать,консультировать
проконтактировать,контактировать
законтрактовать,контрактовать
проконтролировать,контролировать
оконтузить,контузить
сконфигурировать,конфигурировать
конфисковать,конфисковывать
законфликтовать,конфликтовать
оконфузить,конфузить
сконфузить,конфузить
сконцентрировать,концентрировать
проконцертировать,концертировать
кончить,кончать
скооперировать,кооперировать
скооптировать,кооптировать
скоординировать,координировать
покопать,копать
откопипастить,копипастить
скопировать,копировать
накопить,копить
прикопить,копить
скопить,копить
закопошить,копошить
закоптить,коптить
закорешить,корешить
покоричневеть,коричневеть
накормить,кормить
покормить,кормить
прокормить,кормить
обкорнать,корнать
покоробить,коробить
скоротать,коротать
скорректировать,корректировать
скоррелировать,коррелировать
раскорчевать,корчевать
скорчить,корчить
накосить,косить
скосить,косить
перекосить,косить
прикоснуть,коснуть
скособочить,кособочить
скосоворотить,косоворотить
перекочевать,кочевать
закоченеть,коченеть
окоченеть,коченеть
закрапать,крапать
покрапать,крапать
накрасить,красить
покрасить,красить
окрасить,красить
покраснеть,краснеть
покрасовать,красовать
украсть,красть
прокрасть,красть
накрахмалить,крахмалить
покреативить,креативить
прокредитовать,кредитовать
укрепить,крепить
окрепнуть,крепнуть
окрестить,крестить
перекрестить,крестить
покрестить,крестить
скривить,кривить
выкристаллизовать,кристаллизовать
раскритиковать,критиковать
крикнуть,кричать
прокричать,кричать
скроить,кроить
искромсать,кромсать
накропать,кропать
окропить,кропить
накрошить,крошить
раскрошить,крошить
закружить,кружить
покружить,кружить
раскрутить,крутить
скрутить,крутить
закручинить,кручинить
сокрушить,крушить
накрыть,крыть
покрыть,крыть
раскрыть,крыть
скрючить,крючить
крякнуть,крякать
покряхтеть,кряхтеть
отксерить,ксерить
кувыркнуть,кувыркать
закудрявить,кудрявить
прокукарекать,кукарекать
прокуковать,куковать
прокультивировать,культивировать
выкупать,купать
искупать,купать
покупать,купать
курнуть,курить
перекурить,курить
покурить,курить
прокурлыкать,курлыкать
раскурочить,курочить
закурчавить,курчавить
покусать,кусать
закустить,кустить
укутать,кутать
покутить,кутить
покушать,кушать
скушать,кушать
поладить,ладить
наладить,ладить
облажать,лажать
вылакать,лакать
лакнуть,лакать
отлакировать,лакировать
полакомить,лакомить
отламинировать,ламинировать
лапнуть,лапать
облапать,лапать
приласкать,ласкать
подластить,ластить
полачить,лачить
залаять,лаять
облаять,лаять
налгать,лгать
солгать,лгать
полеветь,леветь
обледенеть,леденеть
заледенить,леденить
полежать,лежать
пролежать,лежать
заленить,ленить
обленить,ленить
пролепетать,лепетать
полететь,лететь
полиберальничать,либеральничать
лизнуть,лизать
облизать,лизать
возликовать,ликовать
пролимитировать,лимитировать
разлиновать,линовать
вылинять,линять
полинять,линять
прилипнуть,липнуть
перелистать,листать
пролистать,листать
пролистовать,листовать
залитовать,литовать
налить,лить
полихачить,лихачить
залихорадить,лихорадить
залицевать,лицевать
перелицевать,лицевать
залицензировать,лицензировать
лишить,лишать
поймать,ловить
уловить,ловить
словчить,ловчить
лечь,ложить
сломать,ломать
перелопатить,лопатить
лопнуть,лопать
залоснить,лоснить
вылудить,лудить
налузгать,лузгать
слукавить,лукавить
отлупить,лупить
облупить,лупить
налущить,лущить
облысеть,лысеть
прильнуть,льнуть
польстить,льстить
полюбезничать,любезничать
полюбить,любить
залюбовать,любовать
полюбовать,любовать
полюбопытствовать,любопытствовать
лягнуть,лягать
лязгнуть,лязгать
мазнуть,мазать
намазать,мазать
замазюкать,мазюкать
измазюкать,мазюкать
макнуть,макать
промаксимизировать,максимизировать
смалодушествовать,малодушествовать
смалодушничать,малодушничать
сманеврировать,маневрировать
проманежить,манежить
приманить,манить
проманкировать,манкировать
замариновать,мариновать
промариновать,мариновать
промаршировать,маршировать
намаслить,маслить
помассировать,массировать
смастерить,мастерить
отмасштабировать,масштабировать
смасштабировать,масштабировать
заматереть,матереть
обматерить,материть
заматировать,матировать
махнуть,махать
помахать,махать
измаять,маять
замаячить,маячить
омеблировать,меблировать
помедлить,медлить
размежевать,межевать
обмелеть,мелеть
омелеть,мелеть
мелькнуть,мелькать
обменять,менять
поменять,менять
разменять,менять
заменять,менять
сменять,менять
померещить,мерещить
померить,мерить
померкнуть,меркнуть
помертветь,мертветь
меркнуть,мерцать
подмести,мести
метнуть,метать
заметать,метать
отметелить,метелить
пометить,метить
замеханизировать,механизировать
помечтать,мечтать
помешать,мешать
перемешать,мешать
размешать,мешать
помешкать,мешкать
мигнуть,мигать
смикшировать,микшировать
помиловать,миловать
помилосердствовать,милосердствовать
поминдальничать,миндальничать
проминимизировать,минимизировать
заминировать,минировать
помирить,мирить
помитинговать,митинговать
возомнить,мнить
умножить,множить
отмобилизовать,мобилизовать
смоделировать,моделировать
промодулировать,модулировать
намозолить,мозолить
намокнуть,мокнуть
промокнуть,мокнуть
умолить,молить
помолить,молить
помолодеть,молодеть
обмолотить,молотить
смолоть,молоть
смолчать,молчать
смонтировать,монтировать
моргнуть,моргать
поморгать,моргать
замордовать,мордовать
заморить,морить
разморить,морить
заморосить,моросить
поморосить,моросить
наморщить,морщить
сморщить,морщить
замостить,мостить
мотнуть,мотать
промотивировать,мотивировать
замоторизовать,моторизовать
намочить,мочить
помочить,мочить
смочь,мочь
смошенничать,мошенничать
помрачнеть,мрачнеть
отомстить,мстить
намудрить,мудрить
возмужать,мужать
смультиплексировать,мультиплексировать
промурлыкать,мурлыкать
помурыжить,мурыжить
намуслить,муслить
намусорить,мусорить
промуссировать,муссировать
смутировать,мутировать
замутить,мутить
помутить,мутить
помутнеть,мутнеть
замутнить,мутнить
помутнить,мутнить
отмутузить,мутузить
смухлевать,мухлевать
вымуштровать,муштровать
помыкать,мыкать
намылить,мылить
отмыть,мыть
помыть,мыть
умыть,мыть
промычать,мычать
помягчеть,мягчеть
замямлить,мямлить
промямлить,мямлить
смять,мять
помять,мять
мяукнуть,мяукать
набавить,набавлять
наболтать,набалтывать
набелить,набеливать
набить,набивать
набрать,набирать
понаблюдать,наблюдать
пронаблюдать,наблюдать
набросать,набрасывать
набросить,набрасывать
набрести,набредать
набрызгать,набрызгивать
набухнуть,набухать
навалить,наваливать
кучу,наваливать
наварить,наваривать
навеять,навевать
наведать,наведывать
наверстать,наверстывать
навернуть,навертывать
навесить,навешивать
навестить,навещать
навинтить,навинчивать
нависнуть,нависать
навлечь,навлекать
навести,наводить
наводнить,наводнять
навоевать,навоевывать
навострить,навострять
навязать,навязывать
нагнуть,нагибать
наглотать,наглатывать
обнаглеть,наглеть
нагнести,нагнетать
нагнить,нагнивать
наговорить,наговаривать
нагнать,нагонять
нагореть,нагорать
наградить,награждать
нагулять,нагуливать
надбить,надбивать
надвинуть,надвигать
надвязать,надвязывать
надеть,надевать
наделить,наделять
надернуть,надергивать
понадеять,надеять
надрать,надирать
понадобить,надобить
надоесть,надоедать
надписать,надписывать
надорвать,надрывать
надсадить,надсаживать
надставить,надставлять
надстроить,надстраивать
надумать,надумывать
наесть,наедать
понаехать,наехать
нажить,наживать
наживить,наживлять
назначить,назначать
назреть,назревать
назвать,называть
наказать,наказывать
накалить,накаливать
наколоть,накалывать
накатать,накатывать
накатить,накатывать
накачать,накачивать
накидать,накидывать
накинуть,накидывать
накипеть,накипать
наложить,накладывать
накрутить,накручивать
накурить,накуривать
налепить,налеплять
налететь,налетать
налипнуть,налипать
намагнитить,намагничивать
намотать,наматывать
намекнуть,намекать
намерзнуть,намерзать
намести,наметать
наметить,намечать
нанизать,нанизывать
нанять,нанимать
нанести,наносить
напасть,нападать
напаять,напаивать
напарить,напаривать
напороть,напарывать
напеть,напевать
напереть,напирать
напичкать,напичкивать
наподдать,наподдавать
наползти,наползать
наполнить,наполнять
напомнить,напоминать
направить,направлять
напросить,напрашивать
напридумать,напридумывать
напружить,напруживать
напружинить,напружинивать
напрыскать,напрыскивать
напрячь,напрягать
напудрить,напудривать
напурачить,напурачивать
напустить,напускать
напутать,напутывать
напылить,напылять
напялить,напяливать
наработать,нарабатывать
нарасти,нарастать
нарастить,наращивать
народить,нарождать
нарумянить,нарумянивать
нарушить,нарушать
нарвать,нарывать
нарядить,наряжать
насадить,насаждать
насесть,наседать
населить,населять
насидеть,насиживать
изнасиловать,насиловать
снасильничать,насильничать
насладить,наслаждать
унаследовать,наследовать
настать,наставать
наставить,наставлять
настоять,настаивать
настичь,настигать
настелить,настилать
насторожить,настораживать
настроить,настраивать
настрополить,настрополять
настряпать,настряпывать
наступить,наступать
насупить,насупливать
насчитать,насчитывать
наслать,насылать
насытить,насыщать
натолкнуть,наталкивать
натаскать,натаскивать
натащить,натаскивать
наточить,натачивать
натереть,натирать
натравить,натравливать
натужить,натуживать
наткнуть,натыкать
натянуть,натягивать
снаушничать,наушничать
нахватать,нахватывать
нахлобучить,нахлобучивать
нахмурить,нахмуривать
найти,находить
нацелить,нацеливать
нацепить,нацеплять
начертить,начерчивать
начесать,начесывать
начать,начинать
начинить,начинять
начислить,начислять
начистить,начищать
нашептать,нашептывать
нашить,нашивать
нашлепать,нашлепывать
нащупать,нащупывать
досидеть,досиживать
обеспечить,обеспечивать
обидеть,обижать
обнаружить,обнаруживать
обратить,обращать
обойти,обходить
одобрить,одобрять
опоздать,опаздывать
опустить,опускать
оскорбить,оскорблять
осмелить,осмеливать
остать,оставать
оставить,оставлять
отказать,отказывать
отразить,отражать
ошибить,ошибать
перевести,переводить
перенести,переносить
перейти,переходить
повернуть,поворачивать
поднять,поднимать
подчинить,подчинять
позволить,позволять
покинуть,покидать
получить,получать
попасть,попадать
поступить,поступать
прекратить,прекращать
прибавить,прибавлять
придать,придавать
признать,признавать
притронуть,притрагивать
проверить,проверять
проиграть,проигрывать
пропасть,пропадать
пропустить,пропускать
простить,прощать
пустить,пускать
решить,решать
сомкнуть,смыкать
сообразить,соображать
составить,составлять
сорвать,срывать
тронуть,трогать
уделить,уделять
удостоить,удостаивать
уклонить,уклонять
упустить,упускать
усложнить,усложнять
уступить,уступать
утратить,утрачивать
учесть,учитывать
хватить,хватать
приневолить,неволить
вознегодовать,негодовать
недоварить,недоваривать
недовыполнить,недовыполнять
недодать,недодавать
недоесть,недоедать
недожарить,недожаривать
недокопать,недокапывать
недоквасить,недоквашивать
недолить,недоливать
недомыть,недомывать
недоносить,недонашивать
недоопределить,недоопределять
недооценить,недооценивать
недоплатить,недоплачивать
недоползти,недоползать
недополучить,недополучать
недопонять,недопонимать
недопоставить,недопоставлять
недоработать,недорабатывать
недорисовать,недорисовывать
недосолить,недосаливать
недосчитать,недосчитывать
недотянуть,недотягивать
недоукомплектовать,недоукомплектовывать
занедоумевать,недоумевать
недоучить,недоучивать
понежить,нежить
понежничать,нежничать
онеметь,неметь
возненавидеть,ненавидеть
разнервировать,нервировать
занервничать,нервничать
перенервничать,нервничать
понервничать,нервничать
разнервничать,нервничать
принести,нести
низвергнуть,низвергать
низвести,низводить
отникелировать,никелировать
ниспровергнуть,ниспровергать
низойти,нисходить
обнищать,нищать
пронормировать,нормировать
переночевать,ночевать
понравить,нравить
занудеть,нудеть
занумеровать,нумеровать
перенумеровать,нумеровать
пронумеровать,нумеровать
нырнуть,нырять
заныть,ныть
нюхнуть,нюхать
понюхать,нюхать
понянчить,нянчить
обагрить,обагрять
обалдеть,обалдевать
обороть,обарывать
оббежать,оббегать
оббить,оббивать
обвалить,обваливать
обвалять,обваливать
обварить,обваривать
обвеять,обвеивать
обвернуть,обвертывать
обветрить,обветривать
обвесить,обвешивать
обвить,обвивать
обвести,обводить
обводнить,обводнять
обволочь,обволакивать
обворовать,обворовывать
обвыкнуть,обвыкать
обвязать,обвязывать
обогнать,обгонять
